,id,img,label,text,pred_cf_value
0,8291,./data/img/08291.png,1,white people is this a shooting range,0.0060996925458312035
1,46971,./data/img/46971.png,1,bravery at its finest,0.00010176132491324097
2,3745,./data/img/03745.png,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,5.857321957591921e-05
3,83745,./data/img/83745.png,1,it is time.. to send these parasites back to the desert,0.7744408249855042
4,80243,./data/img/80243.png,1,mississippi wind chime,0.0006237532361410558
5,5279,./data/img/05279.png,1,"knowing white people , that's probably the baby father",0.0014385292306542397
6,1796,./data/img/01796.png,1,life hack #23 how to get stoned with no weed,0.17505431175231934
7,53046,./data/img/53046.png,1,"you've heard of elf on a shelf, now get ready for",6.431150541175157e-05
8,82301,./data/img/82301.png,1,cooooooooooooon!!!!,0.055126357823610306
9,31752,./data/img/31752.png,1,when you get to choose your own mental illness,0.4257132411003113
10,27635,./data/img/27635.png,1,dat ass ahmarbkrich*d,0.9987670183181763
11,80597,./data/img/80597.png,1,look! it says it right here! we can fuck goats!,0.9965100884437561
12,45368,./data/img/45368.png,1,enough is enough children are more important than freaks,0.13271453976631165
13,17963,./data/img/17963.png,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,0.9877074360847473
14,53968,./data/img/53968.png,1,when you have an 80 point iq but it's the highest in your village,0.000308720744214952
15,10749,./data/img/10749.png,1,my sense of humor is so dark it picks cotton,0.00036361260572448373
16,25149,./data/img/25149.png,1,if this offends you you might be lack toes intolerant,0.1645517796278
17,87520,./data/img/87520.png,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!",0.00048476774827577174
18,89071,./data/img/89071.png,1,they don't wash their ass with water and they eat their daughters' ass,0.9992743134498596
19,9563,./data/img/09563.png,1,safe sex isis style,0.006607763934880495
20,72048,./data/img/72048.png,1,hurry up barack will be home soon,0.00022312047076411545
21,49826,./data/img/49826.png,1,white people on cinco de mayo vs. every other day,0.007346601691097021
22,26453,./data/img/26453.png,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath",0.11127162724733353
23,12650,./data/img/12650.png,1,which one has tranny problems?,0.0005446195718832314
24,2568,./data/img/02568.png,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,0.005566033069044352
25,83954,./data/img/83954.png,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,0.00023336868616752326
26,24316,./data/img/24316.png,1,sharks don't attack him why? they think it's whale shit,0.7778186798095703
27,62035,./data/img/62035.png,1,thank god my ass needed a break,0.9874690771102905
28,65342,./data/img/65342.png,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""",0.19303682446479797
29,92058,./data/img/92058.png,1,how black people became christians,0.029368137940764427
30,58672,./data/img/58672.png,1,did you know that the chinese eat dogs savages disgusting,0.9977922439575195
31,54069,./data/img/54069.png,1,when you decide to go full gas,0.07294338941574097
32,91586,./data/img/91586.png,1,left the kitchen too many times,0.004406427964568138
33,87130,./data/img/87130.png,1,finally finding the right tutorial you need indian accent,3.995072256657295e-05
34,95640,./data/img/95640.png,1,syrian rape survivor speaks out,0.021273670718073845
35,47819,./data/img/47819.png,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice",0.8129808306694031
36,59140,./data/img/59140.png,1,wanna go masturbate? fuck yeah! masturbating!,0.9932851791381836
37,13647,./data/img/13647.png,1,she said girls run the world... so i told her get back in the kitchen,0.007468910422176123
38,65832,./data/img/65832.png,1,why love one but eat the other ? i don't get it,5.4395757615566254e-05
39,57621,./data/img/57621.png,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,0.000849891162943095
40,40982,./data/img/40982.png,1,and just like that... this sandwich maker doubles as ironing board,0.00014359602937474847
41,43275,./data/img/43275.png,1,my husband is always pushing me around... and talking behind my back,0.04821135103702545
42,12973,./data/img/12973.png,1,someone added to much soap to the dishwasher again,0.00022549480490852147
43,74350,./data/img/74350.png,1,a head diaper is required when you have shit for brains,0.998190701007843
44,2478,./data/img/02478.png,1,must..resist...urge to.. kill whitey.,0.9167135953903198
45,51607,./data/img/51607.png,1,49 people were killed at christchurch muslim 49 people were killed at christchurch mosques muslim,0.45253047347068787
46,65403,./data/img/65403.png,1,money is evil give it to us,0.1532810479402542
