,id,img,label,text,pred_ps_value
0,8291,./data/img/08291.png,1,white people is this a shooting range,0.7982209
1,46971,./data/img/46971.png,1,bravery at its finest,0.17776097
2,3745,./data/img/03745.png,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,0.48783457
3,83745,./data/img/83745.png,1,it is time.. to send these parasites back to the desert,0.8387093
4,80243,./data/img/80243.png,1,mississippi wind chime,0.15819444
5,5279,./data/img/05279.png,1,"knowing white people , that's probably the baby father",0.6036322
6,1796,./data/img/01796.png,1,life hack #23 how to get stoned with no weed,0.7588854
7,53046,./data/img/53046.png,1,"you've heard of elf on a shelf, now get ready for",0.48571935
8,82301,./data/img/82301.png,1,cooooooooooooon!!!!,0.27700964
9,31752,./data/img/31752.png,1,when you get to choose your own mental illness,0.5846582
10,27635,./data/img/27635.png,1,dat ass ahmarbkrich*d,0.8607924
11,80597,./data/img/80597.png,1,look! it says it right here! we can fuck goats!,0.9601158
12,45368,./data/img/45368.png,1,enough is enough children are more important than freaks,0.72651726
13,17963,./data/img/17963.png,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,0.95791733
14,53968,./data/img/53968.png,1,when you have an 80 point iq but it's the highest in your village,0.15007082
15,10749,./data/img/10749.png,1,my sense of humor is so dark it picks cotton,0.24594192
16,25149,./data/img/25149.png,1,if this offends you you might be lack toes intolerant,0.5707828
17,87520,./data/img/87520.png,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!",0.68008345
18,89071,./data/img/89071.png,1,they don't wash their ass with water and they eat their daughters' ass,0.9584264
19,9563,./data/img/09563.png,1,safe sex isis style,0.69542736
20,72048,./data/img/72048.png,1,hurry up barack will be home soon,0.17367205
21,49826,./data/img/49826.png,1,white people on cinco de mayo vs. every other day,0.67005837
22,26453,./data/img/26453.png,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath",0.7394154
23,12650,./data/img/12650.png,1,which one has tranny problems?,0.79904044
24,2568,./data/img/02568.png,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,0.7198482
25,83954,./data/img/83954.png,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,0.53584796
26,24316,./data/img/24316.png,1,sharks don't attack him why? they think it's whale shit,0.95291847
27,62035,./data/img/62035.png,1,thank god my ass needed a break,0.9555147
28,65342,./data/img/65342.png,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""",0.8361803
29,92058,./data/img/92058.png,1,how black people became christians,0.74840575
30,58672,./data/img/58672.png,1,did you know that the chinese eat dogs savages disgusting,0.80613285
31,54069,./data/img/54069.png,1,when you decide to go full gas,0.40388665
32,91586,./data/img/91586.png,1,left the kitchen too many times,0.16740894
33,87130,./data/img/87130.png,1,finally finding the right tutorial you need indian accent,0.40634808
34,95640,./data/img/95640.png,1,syrian rape survivor speaks out,0.7277155
35,47819,./data/img/47819.png,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice",0.5453469
36,59140,./data/img/59140.png,1,wanna go masturbate? fuck yeah! masturbating!,0.98127174
37,13647,./data/img/13647.png,1,she said girls run the world... so i told her get back in the kitchen,0.31792203
38,65832,./data/img/65832.png,1,why love one but eat the other ? i don't get it,0.123455994
39,57621,./data/img/57621.png,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,0.8008965
40,40982,./data/img/40982.png,1,and just like that... this sandwich maker doubles as ironing board,0.19208413
41,43275,./data/img/43275.png,1,my husband is always pushing me around... and talking behind my back,0.2225271
42,12973,./data/img/12973.png,1,someone added to much soap to the dishwasher again,0.19358447
43,74350,./data/img/74350.png,1,a head diaper is required when you have shit for brains,0.92678523
44,2478,./data/img/02478.png,1,must..resist...urge to.. kill whitey.,0.9789684
45,51607,./data/img/51607.png,1,49 people were killed at christchurch muslim 49 people were killed at christchurch mosques muslim,0.8763936
46,65403,./data/img/65403.png,1,money is evil give it to us,0.2587099
47,29750,./data/img/29750.png,1,this cat is getting raped tonight,0.78863615
48,26547,./data/img/26547.png,1,that's the way allah allah i like it,0.34884608
49,2143,./data/img/02143.png,1,"doesnt have food, water, electricity proud of nuclear weapons",0.33750606
50,68192,./data/img/68192.png,1,scientist are working hard to cure them all,0.37623796
51,52603,./data/img/52603.png,1,feeling kinda cute might steal your shit later.. idk,0.942615
52,5349,./data/img/05349.png,0,normal day in a islamic country,0.39819896
53,6491,./data/img/06491.png,1,tranny for sale,0.8921792
54,74013,./data/img/74013.png,1,"nurse: yes sir, we are having mashed potatoes today alzheimer's patient: i don't remember asking you a god damn thing",0.876051
55,27485,./data/img/27485.png,1,thats the way allah allah i like it!!!,0.40946704
56,13026,./data/img/13026.png,1,under the name of multiculturalism we let terrorist into this country,0.50904334
57,17265,./data/img/17265.png,0,meanwhile in baltimore,0.09820186
58,91405,./data/img/91405.png,0,wears rag on her head so her brother husband doesnt want to molest her,0.87765306
59,14026,./data/img/14026.png,1,told girlfriend that mom is deaf so speak loud and slow told mom that girlfriend is retarded,0.8759224
60,18945,./data/img/18945.png,1,when you decide to go full gas,0.403887
61,83920,./data/img/83920.png,1,"just under 17 and a half years ago, 19 people were allowed into the us who should not have been all these years later, we are told that the answer to safety is to allow everyone in",0.084925264
62,83497,./data/img/83497.png,0,different types of radicalization,0.15829271
63,4569,./data/img/04569.png,0,when is the time to eat i am hungry,0.21998094
64,39607,./data/img/39607.png,1,those stupid basterds thought it was a real shower,0.93234444
65,9715,./data/img/09715.png,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,0.07710218
66,1925,./data/img/01925.png,1,i am not racist i just don't like brown sugar,0.4441463
67,94813,./data/img/94813.png,0,thats the way allah allah i like it!!!,0.40946704
68,29437,./data/img/29437.png,1,what can happen if you eat wheaties for 38 years,0.10075174
69,95038,./data/img/95038.png,0,when you take these pics we think about cumming in your mouth,0.948224
